,gamma,num.impute.selected.cpo,nrounds,eta,lambda,alpha,subsample,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,booster,rate_drop,skip_drop
24.0,0.00116344,impute.hist,1150.0,0.0136665,0.0221738,0.0210689,0.293647,6.0,0.339159,0.835341,0.811619,gbtree,,
146212.0,0.0531696,impute.hist,5066.0,0.00417536,0.14315,0.609231,0.752789,6.0,2.28334,0.389594,0.913462,gbtree,,
10106.0,0.00933644,impute.mean,1131.0,0.109934,0.00376948,2.70454,0.670272,4.0,1.44297,0.579591,0.392999,gbtree,,
10093.0,0.000537379,impute.mean,1016.0,0.801959,0.43408,0.0544554,0.955224,9.0,2.04816,0.383176,0.931243,gbtree,,
9960.0,0.816998,impute.mean,516.0,0.0103201,0.0121846,0.0028532,0.710744,13.0,2.80656,0.932278,0.438579,gbtree,,
168338.0,2.98607,impute.mean,221.0,0.0500315,0.000171663,0.894205,0.966194,17.0,2.53227,0.358727,0.822399,gbtree,,
3893.0,0.0405675,impute.hist,1341.0,0.0170547,20.0742,3.03405,0.732772,14.0,1.65502,0.727638,0.511017,gbtree,,
3.0,0.0017451,impute.median,2622.0,0.00967243,4.14934,0.0506065,0.913783,9.0,1.59121,0.301426,0.689654,gbtree,,
3549.0,0.0101227,impute.median,1825.0,0.0463148,248.177,0.000932926,0.326652,13.0,2.64353,0.438011,0.507791,gbtree,,
49.0,0.00013265,impute.hist,1685.0,0.756427,0.370621,0.0155028,0.662619,9.0,3.41383,0.877353,0.536812,gbtree,,
168868.0,0.303322,impute.mean,301.0,0.671288,0.372687,0.0298365,0.278815,12.0,2.31827,0.723602,0.677527,gbtree,,
14970.0,0.0172592,impute.hist,1600.0,0.0215149,0.0462515,0.00206864,0.853693,14.0,1.00728,0.36453,0.378411,gbtree,,
3907.0,0.303322,impute.mean,301.0,0.671288,0.372687,0.0298365,0.278815,12.0,2.31827,0.723602,0.677527,gbtree,,
167211.0,0.0405675,impute.hist,1341.0,0.0170547,20.0742,3.03405,0.732772,14.0,1.65502,0.727638,0.511017,gbtree,,
9986.0,3.2598e-05,impute.mean,999.0,0.0164445,0.00131924,0.00174988,0.664257,9.0,3.11379,0.335563,0.476411,gbtree,,
32.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
168909.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
3021.0,0.922096,impute.median,1998.0,0.0085351,3.81638,0.128748,0.96438,6.0,2.73907,0.338253,0.93246,gbtree,,
146821.0,3.80775e-05,impute.hist,1042.0,0.193801,0.0125535,0.0677078,0.959209,3.0,1.1011,0.959919,0.696045,gbtree,,
146800.0,0.0174656,impute.hist,211.0,0.0628189,0.0182666,0.00341635,0.632127,3.0,0.0393872,0.499077,0.160132,gbtree,,
3512.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
125922.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
3510.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
146820.0,0.171717,impute.mean,505.0,0.0114005,0.493663,1.02763,0.958158,4.0,1.50976,0.939482,0.687849,gbtree,,
28.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
146822.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
3485.0,0.00034459,impute.hist,1265.0,0.0263098,0.203977,0.0595892,0.721657,4.0,1.34197,0.203529,0.375921,gbtree,,
14952.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
9977.0,0.00255811,impute.hist,961.0,0.0276454,0.00176897,0.0108707,0.678393,12.0,1.13665,0.997862,0.922702,gbtree,,
3573.0,0.000499442,impute.median,392.0,0.134472,0.249967,0.00925994,0.916734,12.0,17.6185,0.821092,0.0407068,gbtree,,
3945.0,2.42339,impute.median,1010.0,0.0391929,3.27089,1.14125,0.674313,8.0,2.99276,0.547747,0.358036,gbtree,,
9946.0,3.23825e-05,impute.hist,1052.0,0.0204949,0.00512144,0.00804505,0.967375,12.0,2.51681,0.254871,0.128894,gbtree,,
167125.0,0.922096,impute.median,1998.0,0.0085351,3.81638,0.128748,0.96438,6.0,2.73907,0.338253,0.93246,gbtree,,
11.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
146824.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
15.0,9.07052e-05,impute.mean,1196.0,0.0128886,0.00221806,0.166215,0.391124,1.0,3.63968,0.383342,0.774095,gbtree,,
12.0,7.75928e-05,impute.hist,246.0,0.0474665,0.0241016,1.18587e-05,0.81498,11.0,0.111344,0.0740606,0.613119,gbtree,,
6.0,0.000654213,impute.median,839.0,0.110036,1.02149,0.00335291,0.740909,7.0,1.60227,0.36706,0.291176,gbtree,,
45.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
167140.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
43.0,0.00158167,impute.hist,506.0,0.348014,0.00139158,0.105015,0.668133,9.0,1.69043,0.334334,0.886096,gbtree,,
16.0,0.000329653,impute.hist,970.0,0.012831,0.00377956,0.198663,0.914143,10.0,2.89239,0.661095,0.534488,gbtree,,
3481.0,0.0282864,impute.median,1535.0,0.0747766,1.35618,0.00744313,0.843572,13.0,1.91475,0.744032,0.439877,gbtree,,
168335.0,3.80775e-05,impute.hist,1042.0,0.193801,0.0125535,0.0677078,0.959209,3.0,1.1011,0.959919,0.696045,gbtree,,
146819.0,0.0153873,impute.hist,200.0,0.0187112,0.00103206,0.00208354,0.686789,14.0,1.58656,0.439092,0.74211,gbtree,,
168912.0,0.00594893,impute.mean,293.0,0.0168997,0.0716419,0.00227073,0.97944,12.0,0.283817,0.452723,0.391583,gbtree,,
9978.0,1.16498,impute.median,1425.0,0.194528,0.236045,0.00600877,0.851649,8.0,2.61789,0.910228,0.61279,gbtree,,
3022.0,0.0470836,impute.median,204.0,0.0884289,0.00155846,0.0253163,0.386764,3.0,0.039917,0.48268,0.402322,gbtree,,
219.0,4.04455e-06,impute.hist,1449.0,0.0627474,11.5607,1.70055,0.836508,11.0,1.08763,0.103679,0.952964,gbtree,,
167141.0,4.04455e-06,impute.hist,1449.0,0.0627474,11.5607,1.70055,0.836508,11.0,1.08763,0.103679,0.952964,gbtree,,
41.0,0.211718,impute.median,1832.0,0.00641363,0.0252225,0.00440715,0.510081,4.0,1.43849,0.550696,0.283238,gbtree,,
3493.0,3.80775e-05,impute.hist,1042.0,0.193801,0.0125535,0.0677078,0.959209,3.0,1.1011,0.959919,0.696045,gbtree,,
9964.0,7.75928e-05,impute.hist,246.0,0.0474665,0.0241016,1.18587e-05,0.81498,11.0,0.111344,0.0740606,0.613119,gbtree,,
9981.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
3918.0,0.0170767,impute.hist,748.0,0.006237,3.10991e-05,0.00794149,0.391913,11.0,0.206577,0.806793,0.0341054,gbtree,,
3902.0,0.0153873,impute.hist,200.0,0.0187112,0.00103206,0.00208354,0.686789,14.0,1.58656,0.439092,0.74211,gbtree,,
14965.0,0.0017451,impute.median,2622.0,0.00967243,4.14934,0.0506065,0.913783,9.0,1.59121,0.301426,0.689654,gbtree,,
2074.0,0.000627202,impute.median,1411.0,0.11109,8.40308,0.205984,0.306118,15.0,0.103594,0.956656,0.0622177,gbtree,,
167119.0,0.0531696,impute.hist,5066.0,0.00417536,0.14315,0.609231,0.752789,6.0,2.28334,0.389594,0.913462,gbtree,,
9952.0,0.0174656,impute.hist,211.0,0.0628189,0.0182666,0.00341635,0.632127,3.0,0.0393872,0.499077,0.160132,gbtree,,
146825.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
3903.0,3.05444e-05,impute.hist,879.0,0.0154091,0.355118,0.0038835,0.584363,3.0,0.0764938,0.65329,0.769222,gbtree,,
7592.0,2.42339,impute.median,1010.0,0.0391929,3.27089,1.14125,0.674313,8.0,2.99276,0.547747,0.358036,gbtree,,
168336.0,2.42339,impute.median,1010.0,0.0391929,3.27089,1.14125,0.674313,8.0,2.99276,0.547747,0.358036,gbtree,,
146607.0,0.00246212,impute.median,462.0,0.206794,151.669,1.014,0.447447,13.0,1.61361,0.790935,0.549543,gbtree,,
190411.0,3.23825e-05,impute.hist,1052.0,0.0204949,0.00512144,0.00804505,0.967375,12.0,2.51681,0.254871,0.128894,gbtree,,
146818.0,4.15233,impute.mean,224.0,0.0590913,0.0349897,0.0298303,0.889363,15.0,1.10029,0.633104,0.493137,gbtree,,
9957.0,0.00158167,impute.hist,506.0,0.348014,0.00139158,0.105015,0.668133,9.0,1.69043,0.334334,0.886096,gbtree,,
29.0,0.000110414,impute.hist,25.0,0.234056,0.259075,1.69727,0.885404,13.0,0.346045,0.826642,0.997342,gbtree,,
58.0,0.540007,impute.median,1124.0,0.017849,0.0202959,0.0952559,0.767448,12.0,1.38378,0.945614,0.614201,gbtree,,
9950.0,0.00200209,impute.median,265.0,0.283222,8.67609,0.00387194,0.461532,12.0,0.150733,0.46513,0.781264,gbtree,,
146195.0,0.0017451,impute.median,2622.0,0.00967243,4.14934,0.0506065,0.913783,9.0,1.59121,0.301426,0.689654,gbtree,,
167121.0,0.000499442,impute.median,392.0,0.134472,0.249967,0.00925994,0.916734,12.0,17.6185,0.821092,0.0407068,gbtree,,
3917.0,7.74676,impute.mean,114.0,0.0512091,0.291625,0.00513693,0.692731,8.0,1.39533,0.227262,0.815653,gbtree,,
168337.0,0.00539367,impute.median,1165.0,0.0853643,0.0164574,0.00304677,0.946506,7.0,0.936817,0.18824,0.579078,gbtree,,
3913.0,0.0229552,impute.mean,1499.0,0.0020057,0.00230936,0.290084,0.652767,13.0,0.153927,0.863854,0.340043,gbtree,,
9976.0,1.60086,impute.hist,456.0,0.0209805,0.011495,0.0364676,0.717939,12.0,2.24516,0.715199,0.830544,gbtree,,
14954.0,4.15233,impute.mean,224.0,0.0590913,0.0349897,0.0298303,0.889363,15.0,1.10029,0.633104,0.493137,gbtree,,
168911.0,0.0017451,impute.median,2622.0,0.00967243,4.14934,0.0506065,0.913783,9.0,1.59121,0.301426,0.689654,gbtree,,
189928.0,0.000110414,impute.hist,25.0,0.234056,0.259075,1.69727,0.885404,13.0,0.346045,0.826642,0.997342,gbtree,,
14.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
14971.0,0.0170767,impute.hist,748.0,0.006237,3.10991e-05,0.00794149,0.391913,11.0,0.206577,0.806793,0.0341054,gbtree,,
3904.0,7.74676,impute.mean,114.0,0.0512091,0.291625,0.00513693,0.692731,8.0,1.39533,0.227262,0.815653,gbtree,,
9910.0,4.34723e-05,impute.median,732.0,0.012585,0.00251949,0.0139033,0.992527,15.0,15.7008,0.495004,0.323991,gbtree,,
53.0,3.2598e-05,impute.mean,999.0,0.0164445,0.00131924,0.00174988,0.664257,9.0,3.11379,0.335563,0.476411,gbtree,,
190412.0,2.98607,impute.mean,221.0,0.0500315,0.000171663,0.894205,0.966194,17.0,2.53227,0.358727,0.822399,gbtree,,
22.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
37.0,0.0174656,impute.hist,211.0,0.0628189,0.0182666,0.00341635,0.632127,3.0,0.0393872,0.499077,0.160132,gbtree,,
10101.0,7.74676,impute.mean,114.0,0.0512091,0.291625,0.00513693,0.692731,8.0,1.39533,0.227262,0.815653,gbtree,,
146817.0,0.0101227,impute.median,1825.0,0.0463148,248.177,0.000932926,0.326652,13.0,2.64353,0.438011,0.507791,gbtree,,
31.0,4.15233,impute.mean,224.0,0.0590913,0.0349897,0.0298303,0.889363,15.0,1.10029,0.633104,0.493137,gbtree,,
9971.0,0.0174656,impute.hist,211.0,0.0628189,0.0182666,0.00341635,0.632127,3.0,0.0393872,0.499077,0.160132,gbtree,,
168908.0,0.323108,impute.median,587.0,0.0132198,0.00531618,0.0291747,0.978689,10.0,1.45186,0.251398,0.196044,gbtree,,
146606.0,0.0057753,impute.mean,396.0,0.04778,0.245376,0.00192871,0.920314,11.0,21.3051,0.774802,0.742837,gbtree,,
3561.0,3.80775e-05,impute.hist,1042.0,0.193801,0.0125535,0.0677078,0.959209,3.0,1.1011,0.959919,0.696045,gbtree,,
189927.0,0.0017451,impute.median,2622.0,0.00967243,4.14934,0.0506065,0.913783,9.0,1.59121,0.301426,0.689654,gbtree,,
18.0,0.00094623,impute.mean,762.0,0.97665,0.0173185,0.00183707,0.492579,11.0,7.50777,0.421067,0.179727,gbtree,,
168330.0,1.001,impute.median,1701.0,0.010956,0.0302611,0.0341904,0.870767,14.0,36.2609,0.858622,0.491205,gbtree,,
2079.0,0.013263,impute.mean,362.0,0.0150904,0.0856683,0.12571,0.408453,4.0,1.64106,0.857577,0.555414,gbtree,,
168910.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
145681.0,0.816998,impute.mean,516.0,0.0103201,0.0121846,0.0028532,0.710744,13.0,2.80656,0.932278,0.438579,gbtree,,
14969.0,3.2598e-05,impute.mean,999.0,0.0164445,0.00131924,0.00174988,0.664257,9.0,3.11379,0.335563,0.476411,gbtree,,
168331.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
125921.0,2.92871,impute.hist,276.0,0.153679,0.00866321,0.000603348,0.764324,10.0,1.203,0.886549,0.0851121,gbtree,,
168339.0,1.59103,impute.hist,1491.0,0.00764405,0.0443483,0.0169585,0.562003,11.0,1.04617,0.646332,0.538982,gbtree,,
23.0,4.15233,impute.mean,224.0,0.0590913,0.0349897,0.0298303,0.889363,15.0,1.10029,0.633104,0.493137,gbtree,,
2073.0,0.540007,impute.median,1124.0,0.017849,0.0202959,0.0952559,0.767448,12.0,1.38378,0.945614,0.614201,gbtree,,
9985.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
167124.0,0.000499442,impute.median,392.0,0.134472,0.249967,0.00925994,0.916734,12.0,17.6185,0.821092,0.0407068,gbtree,,
168332.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
189924.0,0.0470836,impute.median,204.0,0.0884289,0.00155846,0.0253163,0.386764,3.0,0.039917,0.48268,0.402322,gbtree,,
168329.0,0.089966,impute.hist,120.0,0.483831,11.9884,0.00112799,0.982635,6.0,22.7959,0.066351,0.482782,gbtree,,
